material_name,page,zone_id,width_mm,height_mm,area_m2,bbox_area_m2,scale_mm_per_px,scale_source,area_px,width_px,height_px,bbox_px,material_line
Натуральный камень,1,p001-z0419,31.1,28.5,0.0002,0.0009,0.317134,dimension_line,1517.5,98,90,"[2937, 2489, 3035, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0420,31.7,29.2,0.0002,0.0009,0.317134,dimension_line,1552.0,100,92,"[3060, 2489, 3160, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0421,29.8,29.2,0.0001,0.0009,0.317134,dimension_line,1475.5,94,92,"[5167, 2489, 5261, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0422,27.6,27.9,0.0001,0.0008,0.317134,dimension_line,1395.5,87,88,"[2956, 2491, 3043, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0423,18.7,30.8,0.0002,0.0006,0.317134,dimension_line,1607.5,59,97,"[5342, 2492, 5401, 2589]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0424,27.3,27.3,0.0001,0.0007,0.317134,dimension_line,1374.5,86,86,"[4724, 2493, 4810, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0425,27.0,27.0,0.0001,0.0007,0.317134,dimension_line,1353.0,85,85,"[4966, 2494, 5051, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0426,27.3,25.4,0.0001,0.0007,0.317134,dimension_line,1335.5,86,80,"[3478, 2499, 3564, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0427,27.0,25.4,0.0001,0.0007,0.317134,dimension_line,1325.5,85,80,"[3720, 2499, 3805, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0428,27.9,26.0,0.0001,0.0007,0.317134,dimension_line,1365.5,88,82,"[3806, 2499, 3894, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0429,27.3,25.4,0.0001,0.0007,0.317134,dimension_line,1335.0,86,80,"[3961, 2499, 4047, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0430,27.9,25.4,0.0001,0.0007,0.317134,dimension_line,1388.0,88,80,"[4086, 2499, 4174, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0431,28.9,26.3,0.0001,0.0008,0.317134,dimension_line,1388.0,91,83,"[4103, 2499, 4194, 2582]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0432,27.9,26.0,0.0001,0.0007,0.317134,dimension_line,1372.5,88,82,"[4123, 2499, 4211, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0433,34.9,47.9,0.001,0.0017,0.317134,dimension_line,9951.0,110,151,"[4216, 2499, 4326, 2650]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0434,35.2,46.3,0.0008,0.0016,0.317134,dimension_line,7502.0,111,146,"[3230, 2500, 3341, 2646]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0435,25.1,24.7,0.0001,0.0006,0.317134,dimension_line,1247.5,79,78,"[3350, 2500, 3429, 2578]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0436,28.2,25.7,0.0001,0.0007,0.317134,dimension_line,1367.0,89,81,"[3359, 2500, 3448, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0437,28.2,26.0,0.0001,0.0007,0.317134,dimension_line,1354.0,89,82,"[3378, 2500, 3467, 2582]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0438,28.2,25.7,0.0001,0.0007,0.317134,dimension_line,1360.0,89,81,"[3398, 2500, 3487, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0439,109.4,70.1,0.0035,0.0077,0.317134,dimension_line,34582.5,345,221,"[3419, 2500, 3764, 2721]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0440,27.6,25.1,0.0001,0.0007,0.317134,dimension_line,1321.5,87,79,"[3419, 2500, 3506, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0441,28.2,25.7,0.0001,0.0007,0.317134,dimension_line,1361.5,89,81,"[3437, 2500, 3526, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0442,27.6,25.1,0.0001,0.0007,0.317134,dimension_line,1330.5,87,79,"[3458, 2500, 3545, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0443,27.6,25.1,0.0001,0.0007,0.317134,dimension_line,1377.0,87,79,"[3661, 2500, 3748, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0444,28.2,25.7,0.0001,0.0007,0.317134,dimension_line,1349.0,89,81,"[3679, 2500, 3768, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0445,27.6,25.1,0.0001,0.0007,0.317134,dimension_line,1335.5,87,79,"[3700, 2500, 3787, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0446,26.0,25.7,0.0001,0.0007,0.317134,dimension_line,1329.5,82,81,"[3927, 2500, 4009, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0447,27.9,25.1,0.0001,0.0007,0.317134,dimension_line,1331.5,88,79,"[3941, 2500, 4029, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0448,27.3,25.7,0.0001,0.0007,0.317134,dimension_line,1350.5,86,81,"[4048, 2500, 4134, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0449,28.2,25.7,0.0001,0.0007,0.317134,dimension_line,1336.0,89,81,"[4064, 2500, 4153, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0450,24.7,24.7,0.0001,0.0006,0.317134,dimension_line,1233.5,78,78,"[5188, 2501, 5266, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0451,24.7,25.1,0.0001,0.0006,0.317134,dimension_line,1281.0,78,79,"[3823, 2502, 3901, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0452,24.7,25.1,0.0001,0.0006,0.317134,dimension_line,1256.5,78,79,"[4828, 2502, 4906, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0453,24.4,23.5,0.0001,0.0006,0.317134,dimension_line,1203.5,77,74,"[3043, 2507, 3120, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
